tape,step,day,hour,farmer_action,hands_actions,market_actions
0,0,1,0,PASS,,
0,1,1,1,NORTH,,BUY_PRODUCT WHEAT 5; BUY_SEED WHEAT 7; BUY_SEED MELON 12; HIRE; HIRE; HIRE; HIRE; HIRE; BUY_ANIMAL COW 2; BUY_ANIMAL SHEEP 2
0,2,1,2,SOUTH,PICKUP COW 1; NORTH; WEST; PICKUP COW 1,
0,3,1,3,PICKUP SHEEP 1,NORTH; NORTH; WEST; BUILD_PASTURE,
0,4,1,4,PICKUP WHEAT 1,BUILD_PASTURE; NORTH; NORTH; PLACE COW,
0,5,1,5,WEST,PLACE COW; NORTH; NORTH; CARE,
0,6,1,6,NORTH,NORTH; NORTH; NORTH; PICKUP SHEEP 1,
0,7,1,7,BUILD_PASTURE,NORTH; PLANT MELON; PLANT MELON; PICKUP WHEAT 1,
0,8,1,8,PLACE SHEEP,PLANT MELON; WATER; WATER; WEST,
0,9,1,9,FEED,WATER; WEST; WEST; BUILD_PASTURE,
0,10,1,10,CARE,WEST; PLANT MELON; NORTH; PLACE SHEEP,
0,11,1,11,WEST,PLANT MELON; WATER; PLANT MELON; FEED,
0,12,1,12,PLANT MELON,WATER; WEST; WATER; CARE,
0,13,1,13,WATER,WEST; PLANT WHEAT; WEST; WEST,
0,14,1,14,WEST,SOUTH; WATER; PLANT WHEAT; WEST,
0,15,1,15,PLANT MELON,PLANT MELON; WEST; WATER; PLANT MELON,
0,16,1,16,WATER,WATER; PLANT WHEAT; WEST; WATER,
0,17,1,17,PASS,WEST; WATER; PLANT WHEAT; WEST,
0,18,1,18,PASS,PLANT MELON; WATER; PLANT MELON,
0,19,1,19,PASS,WATER; NORTH; WATER,
0,20,1,20,PASS,WEST; PLANT WHEAT; NORTH,
0,21,1,21,PASS,PLANT WHEAT; WATER; PLANT WHEAT,
0,22,1,22,PASS,WATER; WATER,
0,23,1,23,PASS,,
0,24,2,0,PICKUP WHEAT 1,,HIRE; HIRE; HIRE
0,25,2,1,WEST,WEST; NORTH; WEST,
0,26,2,2,NORTH,PICKUP WHEAT 1; PICKUP WHEAT 1; WEST,
0,27,2,3,FEED,NORTH; FEED; WEST,
0,28,2,4,CARE,FEED; CARE; NORTH,
0,29,2,5,COLLECT_FERTILIZER,CARE; COLLECT_FERTILIZER; BUILD_PASTURE,
0,30,2,6,EAST,COLLECT_FERTILIZER; PLACE FERTILIZER; WEST,SELL FERTILIZER 1; BUY_PRODUCT WHEAT 3
0,31,2,7,SOUTH,SOUTH; NORTH; WEST,BUY_PRODUCT WHEAT 1
0,32,2,8,PLACE FERTILIZER,PLACE FERTILIZER; NORTH; NORTH,SELL FERTILIZER 2
0,33,2,9,PASS,BUILD_PASTURE; WATER,BUY_PRODUCT WHEAT 1
0,34,2,10,PASS,SOUTH; NORTH,
0,35,2,11,PASS,SOUTH; WATER,BUY_PRODUCT WHEAT 1
0,36,2,12,PASS,PICKUP WHEAT 1; EAST,
0,37,2,13,PASS,WEST; NORTH,BUY_PRODUCT WHEAT 1
0,38,2,14,PASS,FEED; WATER,
0,39,2,15,PASS,COLLECT_FERTILIZER; WEST,BUY_PRODUCT WHEAT 1
0,40,2,16,PASS,CARE; WATER,
0,41,2,17,PASS,NORTH,
0,42,2,18,PASS,WATER,
0,43,2,19,PASS,EAST,
0,44,2,20,PASS,WATER,
0,45,2,21,PASS,EAST,
0,46,2,22,PASS,WATER,
0,47,2,23,PASS,,
0,48,3,0,PICKUP WHEAT 4,,SELL FERTILIZER 1; BUY_SEED WHEAT 3; HIRE; HIRE; HIRE; HIRE
0,49,3,1,FEED,WEST; WEST; WEST,
0,50,3,2,CARE,WEST; NORTH; NORTH,SELL WHEAT 2
0,51,3,3,COLLECT_FERTILIZER,WEST; NORTH; NORTH,
0,52,3,4,NORTH,WEST; NORTH; WATER,
0,53,3,5,FEED,NORTH; NORTH; NORTH,
0,54,3,6,CARE,WATER; WATER; WATER,
0,55,3,7,COLLECT_FERTILIZER,EAST; NORTH; WEST,
0,56,3,8,WEST,WATER; WATER; WATER,
0,57,3,9,FEED,NORTH; WEST; WEST,
0,58,3,10,CARE,WATER; WATER; WEST,
0,59,3,11,COLLECT_FERTILIZER,NORTH; WEST; WATER,
